,model_default_transcript,confidence_default,transcipt_model_video,confidence_video,remy_model_default_transcript,remy_confidence_default,remy_transcipt_model_video,remy_confidence_video,mj_nlp_model_default,mj_nlp_model_video,token_output_model_default,token_output_model_video,remy_token_output_model_default,remy_token_output_model_video
10,twin state harley response fire alarm 2910 bluff creek drive sinclair home care columbia fire 8910 bluff creek drive sinclair home care,0.8900321722030641,quinton fire alarm 2910 bluff creek dr sinclair home care olivia fire jurisdiction quint 8 charlie response fire alarm to 910 bluff creek dr sinclair homecare columbia fire jurisdiction cross off wild plum court and lacewood dr timeout 1442 hours,0.8928851485252379,6601 labrador drive,0.8299224972724915,quinton six bravo response smoke alarm 1601 labrador dr columbia fire jurisdiction quince fixed bravo response smoke alarm one six zero one labrador dr columbia fire jurisdiction cross off louisville dr and perky point place timeout 1700 hours,0.8801203370094299,Twin State Harley response fire alarm 2910 Bluff Creek Drive Sinclair Home Care Columbia Fire 8910 Bluff Creek Drive Sinclair Home Care,Quinton fire alarm 29:10 Bluff Creek Dr Sinclair Home Care Olivia fire jurisdiction Quint 8 Charlie response fire alarm to 9.10 Bluff Creek Dr Sinclair Homecare Columbia Fire jurisdiction cross off Wild Plum court and Lacewood Dr timeout 14:42 hours,"['2910 bluff creek drive', '8910 bluff creek drive']","['2910 bluff creek dr', '8 charlie response fire', '910 bluff creek dr']",[],['1601 labrador dr columbia']
11,1201,0.7991998195648193,quinton bravo response hemorrhage 1201 paquin street unit 804 paquin towers apartments columbia fire jurisdiction quince tree bravo response hemorrhage 1 to 0 1 paquin street unit 804 paquin powers apartment columbia fire jurisdiction cross off wall street and nephews street timeout fourteen forty hours,0.8831411600112915,north highway 63 northbound road 1015 hours,0.7688941359519958,make the alarm delta response natural cover fire northsouth highway 63 northbound and east manhattan road moonfire jurisdiction time out 1015 hours,0.8544346690177917,1201,Quinton Bravo response Hemorrhage 1201 Paquin Street Unit 804 Paquin Towers Apartments Columbia Fire jurisdiction Quince tree Bravo response Hemorrhage 1 to 0 1 Paquin Street Unit 804 Paquin Powers apartment Columbia Fire jurisdiction cross off Wall Street and nephews Street timeout fourteen forty hours,[],"['1201 paquin street unit', '804 paquin towers apartments', '1 paquin street unit', '804 paquin powers apartment']",[],['63 northbound and east']
12,lance frequent 7 southbound 1306 hours,0.7440471053123474,quick response vehicle collision with injury grindstone creek and south highway 63 south bound columbia fire jurisdiction quint frequent 7 bravo response vehicle collision with injury rhinestone creek and south highway 63 south bound columbia fire jurisdiction time out 1306 hours,0.8888753056526184,quinns face unknown problem 2601 grindstone parkway tiger express car wash,0.8424671292304993,quinton eightman down unknown problem 2601 grindstone park way tiger express car wash columbia fire jurisdiction quinn eightman down unknown problem to 601 rhinestone parkway tiger express car wash columbia fire jurisdiction cross off ponderosa street and bluff creek drive time out 1657 hours will be a fire jurisdiction cross of ponderosa street and bluff creek drive timeout 1657 hours,0.8827415108680725,Lance frequent 7 southbound 1306 hours,quick response vehicle collision with injury grindstone Creek and South Highway 63 south bound Columbia Fire jurisdiction Quint frequent 7 Bravo response vehicle collision with injury rhinestone Creek and South Highway 63 south bound Columbia Fire jurisdiction Time Out 13:06 hours,[],"['63 south bound columbia', '7 bravo response vehicle', '63 south bound columbia']",['2601 grindstone parkway tiger'],"['2601 grindstone park way', '601 rhinestone parkway tiger', '1657 hours will be']"
13,lance 9501 2145 east county dr 29 engine title run,0.8618265390396118,all personnel stand by for test tones test total and 2145 these kind of drive,0.7977213859558105,venice to 1206 ceylon drive,0.8112437129020691,medic2 12 alpha response sick person 67 0 6 kill on dr columbia fire jurisdiction medic to 12 alpha response sixperson six seven zero six chillon dr columbia fire jurisdiction cross off cascades dr and port orchard dr timeout fifteen twenty five hours,0.8592068552970886,Lance 9501 2145 East County Dr 29 engine title run,all Personnel stand by for test tones test total and 2145 these kind of Drive,"['2145 east county dr', '29 engine title run']",['2145 these kind of'],[],"['12 alpha response sick', '6 kill on dr', '12 alpha response sixperson']"
14,paddock to wells medical emergency 1400,0.5548733472824097,medic to 12 medical emergency 1400 ballinger lane columbia fire jurisdiction medic 212 medical emergency 1400 ballinger lane columbia fire jurisdictions across australia street and lillian dr timeout 11 32 hours,0.8907027840614319,kelly response,0.6082925796508789,that is 231 charlie response emergency patients transfer 1508 chapel hill road unit 16 a the arbors at colony point columbia fire jurisdictions manic 231 charlie response to emergency patients transfer one five two zero eight chapel hill road unit 16 a the arbors at colony point along the afire jurisdictions cross off dead end and colony dr timeout 1655 hours,0.9006335139274597,Paddock to Wells medical emergency 1400,medic to 12 medical emergency 1400 Ballinger Lane Columbia Fire jurisdiction medic 212 medical emergency 14.00 Ballinger Lane Columbia Fire jurisdictions across Australia Street and Lillian Dr timeout 11 32 hours,[],"['1400 ballinger lane columbia', '1400 ballinger lane columbia']",[],"['231 charlie response emergency', '1508 chapel hill road', '16 a the arbors', '231 charlie response to', '16 a the arbors']"
15,lance fix smoke alarm,0.7616113424301147,twin brother response smoke alarm 1601 labrador dr columbia fire jurisdictions quints six bravo response smoke alarm one six zero one labrador dr columbia fire jurisdiction cross off louisville dr and perche pointe place timeout 1700 hours,0.8823808431625366,90190 5 mile marker 120 westbound highway 40 westbound,0.8843752145767212,and then 901 tanker 905 engine to bravo response the vehicle collision the situation unknown i 70 west mile marker 122 over zero westbound bun fire jurisdiction and in 901 painter 905 engine to bravo response vehicle collision situation unknown i 70 west mile marker 1 to 2 over 0 westbound bun fire jurisdiction across southwest highway 40 off ramp west bound and perche creek timeout 1458 hours and pretty creek timeout 1458 hours,0.8952341079711914,Lance fix smoke alarm,twin brother response smoke alarm 16:01 Labrador Dr Columbia Fire jurisdictions Quints six Bravo response smoke alarm one six zero one Labrador Dr Columbia Fire jurisdiction cross off Louisville Dr and Perche Pointe Place timeout 1700 hours,[],['1601 labrador dr columbia'],[],"['905 engine to bravo', '70 west mile marker', '122 over zero westbound', '905 engine to bravo', '70 west mile marker', '0 westbound bun fire', '40 off ramp west', '1458 hours and pretty']"
16,242 bms response,0.5882582068443298,medic 222 ems response 2200 bernadette dr dealers columbia mall columbia fire jurisdiction medic 222 ems respond to two zero zero bernadette dr fillers columbia mall columbia fire jurisdiction cross off sniffs street and atkins dr timeout 1237 hours,0.8919547796249391,letter soup italian to 7th squad free response vehicle extrication 3500 block north cir,0.8183050751686096,and then to ladder to battalion to t7 squad 3 zelda response vehicle collision with extrication 3500 block north stadium boulevard columbia fire jurisdiction engine to ladder to battalion to chief seven squad 3 delta response vehicle collision with extrication 3 5 0 0 blocks north stadium boulevard columbia fire jurisdiction cross off columbia bun line and north rowdy edward came out ten fortyfive hours,0.8800072669982909,242 BMS response,medic 222 EMS response 2200 Bernadette Dr dealers Columbia Mall Columbia Fire jurisdiction medic 222 EMS respond to two zero zero Bernadette Dr fillers Columbia Mall Columbia Fire jurisdiction cross off sniffs Street and Atkins Dr timeout 12:37 hours,[],"['2200 bernadette dr dealers', '222 ems respond to']",['3500 block north cir'],"['3 zelda response vehicle', '3500 block north stadium', '3 delta response vehicle', '0 blocks north stadium']"
17,kelly response,0.8593683838844299,quinton charlie response smoke alarm 1005 tiger avenue columbia fire jurisdiction quince tree charlie response mode alarm 1 0 0 5 tiger avenue columbia fire jurisdictions cross off kentucky boulevard and hospital dr timeout 10 42 hours,0.8889567255973816,quince for quince 9 battalion to engine 1 ladder 17 claude street,0.7565125823020935,quinton for quints 9 battalion to engine 1 ladder one chief seven squad three echo response residential structure fire 4102 cottonwood dr columbia fire jurisdiction went for quint 9 battalion to engine 1 ladder one chief seven squad three echo response residential structure fire for 102 cottonwood dr columbia fire jurisdiction across all speeds thompson road and mule deer dr timeout 11 44 hours,0.8780412673950195,Kelly response,Quinton Charlie response smoke alarm 10:05 tiger Avenue Columbia Fire jurisdiction Quince tree Charlie response mode alarm 1 0 0 5 tiger Avenue Columbia Fire jurisdictions cross off Kentucky Boulevard and Hospital Dr timeout 10 42 hours,[],"['1005 tiger avenue columbia', '5 tiger avenue columbia']",['9 battalion to engine'],"['9 battalion to engine', '1 ladder one chief', '4102 cottonwood dr columbia', '9 battalion to engine', '1 ladder one chief', '102 cottonwood dr columbia']"
18,1508 chapel hill road unit 16a the arbors at colony pointe,0.9613725543022156,barek 231 charlie response emergency patients transfer 1508 chapel hill road unit 16 a the arbors at colony point columbia fire jurisdictions medic 231 charlie response to emergency patients transfer one 508 chapel hill road unit 16 a the arbors at colony point along the afire jurisdictions cross off dead end and colony dr timeout 1655 hours,0.8987932801246643,bethel street unit 313 columbia street forest 1520 bethel street unit 313,0.9383549094200134,queen street doesnt respond breathing problem 4150 bevel street unit 313 columbia fire jurisdiction quint 3 delta response grieving problem for 1 5 2 0 bessel street units 313 columbia fire jurisdiction cross off bailey dr and sudbury dr timeout eight thirty nine hours units 313 columbia fire jurisdictions cross off bailey dr and sudbury dr timeout eight forty hours,0.8989719748497009,1508 Chapel Hill Road Unit 16a the Arbors at Colony Pointe,barek 231 Charlie response emergency patients transfer 1508 Chapel Hill Road Unit 16 a the Arbors at Colony Point Columbia Fire jurisdictions medic 231 Charlie response to emergency patients transfer one 5:08 Chapel Hill Road Unit 16 a the Arbors at Colony Point along the afire jurisdictions cross off dead end and Colony Dr timeout 16:55 hours,['1508 chapel hill road'],"['231 charlie response emergency', '1508 chapel hill road', '16 a the arbors', '231 charlie response to', '508 chapel hill road', '16 a the arbors']","['313 columbia street forest', '1520 bethel street unit']","['4150 bevel street unit', '313 columbia fire jurisdiction', '3 delta response grieving', '0 bessel street units', '313 columbia fire jurisdiction', '313 columbia fire jurisdictions']"
19,turn on 660 alarm north highway 63 northbound,0.8551719188690186,truck 1006 make the alarm doesnt respond natural cover fire north of highway 63 north bound and east mccadden road moonfire jurisdiction truck 1006 make the alarm delta respond natural cover fire northsouth highway 63 north bound and east manhattan road bun fire jurisdiction time out 1015 hours,0.8753980994224548,queen stephen curry response 6  6706 carillon drive,0.7190685272216797,quinton seven charlie response sick person 67 0 6 shalom dr columbia fire jurisdiction 27 charlie response sick person six seven zero six chillon dr columbia fire jurisdiction cross off have paid drive and port orchard dr timeout 1529 hours,0.8886075019836426,turn on 660 alarm North Highway 63 northbound,truck 1006 make the alarm doesn't respond natural cover fire North of Highway 63 North bound and East mccadden Road Moonfire jurisdiction truck 1006 make the alarm Delta respond natural cover fire north-south Highway 63 North bound and East Manhattan Road bun fire jurisdiction time out 1015 hours,['660 alarm north highway'],"['1006 make the alarm', '63 north bound and', '1006 make the alarm', '63 north bound and']",[],"['6 shalom dr columbia', '27 charlie response sick']"
20,bethel street unit 313 columbia street,0.9356034994125366,quinton doesnt respond breathing problem 4150 bethel street unit 313 columbia fire jurisdiction quint 3 delta response grieving problem force 1 5 2 0 bessel street units 313 columbia fire jurisdiction cross off bailey dr and sudbury dr timeout eight thirty nine hours,0.8390213847160339,111 6 6361 east bridgewood drive boone fire jurisdiction medics 111 6 6361 east bridgewood drive boone fire jurisdiction cross house north kennington lane and north village lane,0.9273132085800172,mary quant 11 alpha response sixperson 6361 each breezewood dr boone fire jurisdiction medics 111 alba response 6 63 61 each breezewood dr boone fire jurisdiction cross off north penny lane and north do e elaine timeout 17 14 hours,0.8811222314834595,Bethel Street Unit 313 Columbia Street,Quinton doesn't respond breathing problem 4150 Bethel Street Unit 313 Columbia Fire jurisdiction Quint 3 Delta response grieving problem Force 1 5 2 0 Bessel Street units 313 Columbia Fire jurisdiction cross off Bailey Dr and Sudbury Dr timeout eight thirty nine hours,[],"['4150 bethel street unit', '313 columbia fire jurisdiction', '3 delta response grieving', '0 bessel street units', '313 columbia fire jurisdiction']","['6361 east bridgewood drive', '6361 east bridgewood drive']","['11 alpha response sixperson', '6361 each breezewood dr', '61 each breezewood dr']"
21,quinton seven charlie response water flow alarm 4700 brandon woods street columbia fire jurisdiction 74700 brandon woods street columbia fire jurisdiction cross off west southampton drive and west north cedar lake drive 1226 hours,0.9512959122657776,quinton seven charlie response water flow alarm 4700 brandon woods streak columbia fire jurisdiction quints 7 charlie response water flow alarm for 700 0 0 brandon woods street columbia fire jurisdiction cross off west southampton dr and west north cedar lake dr timeout 1226 hours,0.874826192855835,brooke 1406 rockdale texas,0.7290325760841371,prague 1406 truck 806 bravo response fall 4306 west bethany dr boone fire jurisdiction truck 1406 truck 806 bravo response fall for 306 west bethany dr boone fire jurisdiction cross off scott boulevard and west bellview dr timeout 1428 hours,0.8909691572189331,Quinton seven Charlie response water flow alarm 4700 Brandon Woods Street Columbia Fire jurisdiction 74700 Brandon Woods Street Columbia Fire jurisdiction cross off West Southampton Drive and West North Cedar Lake Drive 1226 hours,Quinton seven Charlie response water flow alarm 4700 Brandon Woods streak Columbia Fire jurisdiction Quints 7 Charlie response water flow alarm for 7:00 0 0 Brandon Woods Street Columbia Fire jurisdiction cross off West Southampton Dr and West North Cedar Lake Dr timeout 12:26 hours,"['4700 brandon woods street', '74700 brandon woods street']","['4700 brandon woods streak', '7 charlie response water', '0 brandon woods street']",[],"['806 bravo response fall', '4306 west bethany dr', '806 bravo response fall', '306 west bethany dr']"
22,501 breathing problems 2003 drive,0.7868699431419373,and then the final one the other responds breathing problem 2403 eat alfalfa dr boone fire jurisdiction engine 501 delta response breathing problem two four zero three eight alfalfa dr boone fire jurisdiction cross off each bulrush dr and eats northwood drive timeout 1050 hours before zero three eight alfalfa dr boone fire jurisdiction cross off each bulrush dr and beef northwood drive timeout 1050 hours,0.8843422532081604,directions to 5103 east broadway,0.8723000288009644,that is 251 alba response sixperson 2703 east broadway unit to 40 columbia fire jurisdiction medic 251 alva response sick person to 703 east broadway units to 40 columbia fire jurisdiction cross off trimble route and brickton robe time out 1419 hours,0.8628100752830505,501 breathing problems 2003 Drive,and then the final one the other responds breathing problem 24:03 eat Alfalfa Dr Boone fire jurisdiction engine 501 Delta response breathing problem two four zero three eight Alfalfa Dr Boone fire jurisdiction cross off each bulrush Dr and eats Northwood Drive timeout 10:50 hours before zero three eight Alfalfa Dr Boone fire jurisdiction cross off each bulrush Dr and beef Northwood Drive timeout 1050 hours,[],"['2403 eat alfalfa dr', '501 delta response breathing', '1050 hours before zero']",[],"['251 alba response sixperson', '2703 east broadway unit', '40 columbia fire jurisdiction', '251 alva response sick', '703 east broadway units', '40 columbia fire jurisdiction']"
23,quinn fry charlie response pulsations alarm 3405 clark lane alarm 3405 clark lane unit face,0.9364601373672484,quinton five charlie response pull stations alarm 3405 clark main unit a bandanas barbecue restaurant columbia fire jurisdiction quince 5 charlie response pull stations alarm 3 4 0 v clark main unit a bandanas barbecue restaurant columbia fire jurisdiction cross off creekwood parkway and woodland springs court timeout 1327 hours this is attached repeat this is a test this is a test repeat this is a test,0.8770105242729187,lance 95015 east county dr 90501,0.8587308526039124,quinton 9 engine 501 test 2145 east county dr quince 9 engine 500 1 test 2 1 4 5 e county dr cross off north roger i wilson memorial drive and dead end time out 912 hours,0.8505377769470215,Quinn fry Charlie response pulsations alarm 3405 Clark Lane alarm 3405 Clark Lane unit face,Quinton five Charlie response pull stations alarm 3405 Clark main unit a bandanas barbecue restaurant Columbia Fire jurisdiction Quince 5 Charlie response pull stations alarm 3 4 0 V Clark main unit a bandanas barbecue restaurant Columbia Fire jurisdiction cross off Creekwood Parkway and Woodland Springs Court timeout 13:27 hours this is attached repeat this is a test this is a test repeat this is a test,"['3405 clark lane alarm', '3405 clark lane unit']","['3405 clark main unit', '5 charlie response pull', '0 v clark main', '1327 hours this is']",['95015 east county dr'],"['2145 east county dr', '5 e county dr']"
